type,0.75,1.00,1.25,1.50,2.00,3.00,4.00,6.00
Socket U-bend  , 3.7   , 2.0   , 3.4   ,-99,  ,-99,-99,-99
Socket 90  , 1.0   , 0.8   , 1.9   , 2.0   ,2.1  ,-99,-99,-99
Socket tee-branch  , 1.2   , 1.6   , 2.0   , 3.0   ,4.0  ,-99,-99,-99
Socket tee-straight  , 0.4   , 0.4   , 0.3   , 0.6   , 0.9  ,-99,-99,-99
Socket reducer  ,    , 1.9   , 1.2   , 1.2   ,1.3  ,-99,-99,-99
Butt U-bend  , 3.8   , 6.8   ,11.  ,13.  ,-99,-99,-99,-99
Butt 90  , 2.2   , 3.0   , 5.6   , 3.3   , 3.7    ,10,12,16
Butt tee-branch  , 2.3   , 2.2   , 5.2   , 3.3   ,4.6  ,9.4  ,11,15
Butt tee-straight  , 1.4   , 0.8   , 1.2   , 1.2   , 1.2  ,2.1  ,2.2  ,2.3 
Butt reducer  ,-99, 1.5   , 1.7   , 1.8   ,2.1   , 3.1  , 4.1  , 6.1 
Unicoil  , 2.7   ,3.1 ,5,-99,-99,-99,-99,-99
